50,68,27,28,one
38,43,9,50,one
33,38,90,74,one
48,32,18,90,one
81,19,41,30,one
74,75,52,58,one
85,94,22,81,one
93,85,60,60,one
90,96,47,56,one
96,1,74,91,one
52,67,2,50,one
89,64,91,30,one
96,47,45,25,one
88,70,16,88,one
71,29,5,82,one
31,13,44,43,one
29,28,65,28,one
69,32,6,69,one
41,1,7,44,one
37,33,89,79,one
11,68,94,91,two
13,6,80,88,two
35,64,2,27,two
80,30,99,70,two
88,42,30,73,two
67,24,73,89,two
79,98,43,33,two
57,5,27,1,two
53,52,98,39,two
79,63,35,10,two
79,20,0,68,two
59,58,48,38,two
96,24,89,15,two
58,41,100,64,two
82,1,16,99,two
11,87,77,57,two
98,50,89,48,two
12,26,8,27,two
79,65,70,24,two
3,7,11,46,two
