2,2,4,3,one
10,9,18,10,one
7,4,13,10,one
12,19,12,10,one
16,1,5,8,one
8,8,18,3,one
17,8,2,3,one
14,8,1,18,one
6,18,5,13,one
17,14,2,15,one
17,4,3,15,one
1,6,15,19,one
7,18,2,8,one
2,15,15,11,one
15,8,18,17,one
14,20,4,6,one
2,5,2,7,one
6,20,9,18,one
12,5,16,15,one
3,11,11,17,one
42,45,41,42,two
44,43,41,42,two
41,40,44,45,two
42,41,40,42,two
44,43,45,41,two
45,41,42,43,two
45,42,44,40,two
43,44,42,41,two
41,41,45,40,two
45,41,44,45,two
40,42,43,41,two
44,43,43,45,two
42,41,44,44,two
44,42,41,44,two
42,42,45,43,two
40,42,41,42,two
41,42,43,45,two
41,42,41,44,two
42,41,41,42,two
44,45,41,44,two
61,63,64,62,three
63,65,62,65,three
62,61,61,60,three
62,64,60,62,three
63,61,63,65,three
64,64,61,64,three
62,64,61,64,three
62,62,61,65,three
63,62,60,63,three
61,64,65,61,three
61,63,64,63,three
60,65,62,64,three
62,60,64,63,three
62,60,64,63,three
63,61,62,64,three
60,60,63,60,three
63,60,65,64,three
62,63,64,62,three
60,61,64,65,three
61,61,61,60,three
