7,45,60,85,one
10,48,69,87,one
3,44,63,82,one
3,43,66,88,one
18,45,67,82,one
5,46,61,86,one
4,41,61,89,one
8,44,70,88,one
3,45,61,84,one
15,46,61,84,one
5,44,62,86,one
11,47,66,83,one
11,50,69,83,one
10,45,63,83,one
14,42,65,89,one
15,41,63,89,one
1,43,62,85,one
19,43,63,82,one
10,49,63,83,one
17,48,66,86,one
10,42,60,87,two
9,45,68,84,two
6,43,62,88,two
20,48,69,85,two
15,50,66,84,two
19,45,65,82,two
4,41,61,86,two
19,43,60,82,two
2,42,63,89,two
13,43,68,86,two
5,46,66,87,two
7,49,69,90,two
3,42,69,88,two
17,40,66,84,two
6,42,68,90,two
3,45,68,87,two
0,41,67,90,two
11,45,66,82,two
18,45,67,89,two
13,42,61,84,two
18,42,69,89,three
9,44,62,81,three
11,42,65,85,three
13,48,69,85,three
4,46,64,84,three
4,46,66,85,three
14,45,62,89,three
11,50,69,81,three
7,41,60,87,three
5,48,62,81,three
17,47,68,84,three
13,43,69,86,three
18,44,67,80,three
10,44,62,80,three
16,43,63,84,three
17,48,61,80,three
4,41,69,82,three
8,41,60,80,three
19,40,63,87,three
14,40,63,86,three
